Name,Author,Fiction / non-fiction,Primary Genre
The Bell Jar,Sylvia Plath,Fiction,Modern & Contemporary Fiction
Lost on Me,Veronica Raimo,Fiction,Modern & Contemporary Fiction
Such a Fun Age,Kiley Reid,Fiction,Modern & Contemporary Fiction
Hotel 21,Senta Rich,Fiction,Modern & Contemporary Fiction
The Last Boyfriend,Nora Roberts,Fiction,Modern & Contemporary Fiction
The Next Always,Nora Roberts,Fiction,Modern & Contemporary Fiction
The Perfect Hope,Nora Roberts,Fiction,Modern & Contemporary Fiction
Normal People,Sally Rooney,Fiction,Modern & Contemporary Fiction
"Beautiful World, Where Are You",Sally Rooney,Fiction,Modern & Contemporary Fiction
House of Trelawney,Hannah Rothschild,Fiction,Modern & Contemporary Fiction
Ordinary Love,Marie Rutkoski,Fiction,Modern & Contemporary Fiction
A Theatre for Dreamers,Polly Samson,Fiction,Modern & Contemporary Fiction
I Wish We Weren't Related,Radhika Sanghani,Fiction,Modern & Contemporary Fiction
The Lovely Bones,Alice Sebold,Fiction,Modern & Contemporary Fiction
Best of Friends,Kamila Shamsie,Fiction,Modern & Contemporary Fiction
Chronicles from the Land of the Happiest People on Earth,Wole Soyinka,Fiction,Modern & Contemporary Fiction
The Listeners,Maggie Stiefvater,Fiction,Modern & Contemporary Fiction
Together We Will Go,J. Michael Straczynski,Fiction,Modern & Contemporary Fiction
Memphis,Tara M. Stringfellow,Fiction,Modern & Contemporary Fiction
Animal,Lisa Taddeo,Fiction,Modern & Contemporary Fiction
The Secret History,Donna Tartt,Fiction,Modern & Contemporary Fiction
Maror,Lavie Tidhar,Fiction,Modern & Contemporary Fiction
Spoilt Creatures,Amy Twigg,Fiction,Modern & Contemporary Fiction
Who Wants to Live Forever,Hanna Thomas Uose,Fiction,Modern & Contemporary Fiction
On Earth We're Briefly Gorgeous,Ocean Vuong,Fiction,Modern & Contemporary Fiction
I'm Sorry You Feel That Way,Rebecca Wait,Fiction,Modern & Contemporary Fiction
Metronome,Tom Watson,Fiction,Modern & Contemporary Fiction
Cleaner,Brandi Wells,Fiction,Modern & Contemporary Fiction
Crook Manifesto,Colson Whitehead,Fiction,Modern & Contemporary Fiction
A Little Life,Hanya Yanagihara,Fiction,Modern & Contemporary Fiction
The Shadow of the Wind,Carlos Ruiz Zafon,Fiction,Modern & Contemporary Fiction
The Angel's Game,Carlos Ruiz Zafon,Fiction,Modern & Contemporary Fiction
Tomorrow and Tomorrow and Tomorrow,Gabrielle Zevin,Fiction,Modern & Contemporary Fiction
How Much of These Hills is Gold,C Pam Zhang,Fiction,Modern & Contemporary Fiction
The End of the World is a Cul De Sac,Louise Kennedy,Fiction,Short Stories
Ghost Lover,Lisa Taddeo,Fiction,Short Stories
Today a Woman Went Mad in the Supermarket,Hilma Wolitzer,Fiction,Short Stories
The DaVinci Code,Dan Brown,Fiction,Crime & Mystery
The Flower Girls,Alice Clark-Platts,Fiction,Crime & Mystery
The Cove,Alice Clark-Platts,Fiction,Crime & Mystery
Love Letters to a Serial Killer,Tasha Coryell,Fiction,Crime & Mystery
First Lie Wins,Ashley Elston,Fiction,Crime & Mystery
The Guest List,Lucy Foley,Fiction,Crime & Mystery
The Paris Apartment,Lucy Foley,Fiction,Crime & Mystery
The Appeal,Janice Hallett,Fiction,Crime & Mystery
A Haunting on the Hill,Elizabeth Hand,Fiction,Crime & Mystery
The summer party,Rebecca Heath,Fiction,Crime & Mystery
Too Late,Colleen Hoover,Fiction,Crime & Mystery
The Skeleton Key,Erin Kelly,Fiction,Crime & Mystery
Dont swipe right ,L.M.Chilton,Fiction,Crime & Mystery
The Girl with the Dragon Tattoo,Stieg Larsson,Fiction,Crime & Mystery
All i said was true,Imran Mahmood,Fiction,Crime & Mystery
Hokey Pokey,Kate Mascarenhas,Fiction,Crime & Mystery
Reprieve,James Han Mattson,Fiction,Crime & Mystery
Little Nothings,Julie Mayhew,Fiction,Crime & Mystery
West Heart Kill,Dann Mcdorman,Fiction,Crime & Mystery
The Housemaid,Freida Mcfadden,Fiction,Crime & Mystery
The Fury,Alex Michaelides,Fiction,Crime & Mystery
Untamed Shore,Silvia Moreno-Garcia,Fiction,Crime & Mystery
48 Clues into the Disappearance of My Sister,Joyce Carol Oates,Fiction,Crime & Mystery
The Thursday Murder Club,Richard Osman,Fiction,Crime & Mystery
If We Were Villains,M. L. Rio,Fiction,Crime & Mystery
The Kremlin Device,Chris Ryan,Fiction,Crime & Mystery
A Treachery of Spies,Manda Scott,Fiction,Crime & Mystery
The Consultant,Im Seong-Sun,Fiction,Crime & Mystery
Death of a Bookseller,Alice Slater,Fiction,Crime & Mystery
Home,Cailean Steed,Fiction,Crime & Mystery
The Devil and the Dark Water,Stuart Turton,Fiction,Crime & Mystery
The Seven Deaths of Evelyn Hardcastle,Stuart Turton,Fiction,Crime & Mystery
One by One,Ruth Ware,Fiction,Crime & Mystery
The Cheat Sheet,Sarah Adams,Fiction,Romance
Practice Makes Perfect,Sarah Adams,Fiction,Romance
"Beg, Borrow, or Steal",Sarah Adams,Fiction,Romance
Ghosts,Dolly Alderton,Fiction,Romance
Behind the Net,Stephanie Archer,Fiction,Romance
Terms and Conditions,Lauren Asher,Fiction,Romance
The Fine Print,Lauren Asher,Fiction,Romance
Final Offer,Lauren Asher,Fiction,Romance
"Love, Redesigned",Lauren Asher,Fiction,Romance
The Book Swap,Tessa Bickers,Fiction,Romance
Out on a Limb,Hannah Bonam-Young,Fiction,Romance
Lovelight Farms,B.K. Borison,Fiction,Romance
Mixed Signals,B.K. Borison,Fiction,Romance
Songs in ursa major,Emma Brodie,Fiction,Romance
From Now Until Forever,Rowan Coleman,Fiction,Romance
Riders,Jilly Cooper,Fiction,Romance
Funny Feelings,Tarah Dewitt,Fiction,Romance
The start of something,Miranda Dickinson,Fiction,Romance
12 Hours to Say I Love You,Olivia Poulet And Laurence Dobiesz,Fiction,Romance
Ever After,Kate Eberlen,Fiction,Romance
The Favourites,Layne Fargo,Fiction,Romance
Meet Me at the Lake,Carley Fortune,Fiction,Romance
Bad Publicity,Bianca Gillam,Fiction,Romance
Icebreaker,Hannah Grace,Fiction,Romance
Wildfire,Hannah Grace,Fiction,Romance
One on One,Jamie Harrow,Fiction,Romance
Magnolia Parks,Jessa Hastings,Fiction,Romance
Daisy Haites,Jessa Hastings,Fiction,Romance
Magnolia Parks: Into the Dark,Jessa Hastings,Fiction,Romance
Magnolia Parks: The Long Way Home,Jessa Hastings,Fiction,Romance
Daisy Haites: The Great Undoing,Jessa Hastings,Fiction,Romance
The Love Hypothesis,Ali Hazelwood,Fiction,Romance
"Love, Theoretically",Ali Hazelwood,Fiction,Romance
Check & Mate,Ali Hazelwood,Fiction,Romance
Bride,Ali Hazelwood,Fiction,Romance
Not in Love,Ali Hazelwood,Fiction,Romance
Deep End,Ali Hazelwood,Fiction,Romance
The Queue,Alexandra Heminsley,Fiction,Romance
Funny Story,Emily Henry,Fiction,Romance
