Name,Author,Fiction / non-fiction,Primary Genre
One,Sarah Crossan,Fiction,Childrens & Teenage
The Medusa Project: Hunted,Sophie Mckenzie,Fiction,Childrens & Teenage
Northern Lights,Philip Pullman,Fiction,Childrens & Teenage
Northern Lights,Philip Pullman,Fiction,Childrens & Teenage
The Subtle Knife,Philip Pullman,Fiction,Childrens & Teenage
The Amber Spyglass,Philip Pullman,Fiction,Childrens & Teenage
The Great Godden,Meg Rosoff,Fiction,Childrens & Teenage
Quidditch Through the Ages,J. K. Rowling,Fiction,Childrens & Teenage
The Tales of Beedle the Bard,J. K. Rowling,Fiction,Childrens & Teenage
Fantastic Beasts and Where to Find Them,J. K. Rowling,Fiction,Childrens & Teenage
Harry Potter and the Philosopher's Stone,J. K. Rowling,Fiction,Childrens & Teenage
Harrius Potter et Philosophi Lapis,J. K. Rowling,Fiction,Childrens & Teenage
Harry Potter and the Chamber of Secrets,J. K. Rowling,Fiction,Childrens & Teenage
Harry Potter and the Philosopher's Stone,J. K. Rowling,Fiction,Childrens & Teenage
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,Fiction,Childrens & Teenage
Harry Potter and the Goblet of Fire,J. K. Rowling,Fiction,Childrens & Teenage
Harry Potter and the Order of the Phoenix,J. K. Rowling,Fiction,Childrens & Teenage
Harry Potter and the Half Blood Prince,J. K. Rowling,Fiction,Childrens & Teenage
Harry Potter and the Deathly Hallows,J. K. Rowling,Fiction,Childrens & Teenage
The Gravity of Us,Phil Stamper,Fiction,Childrens & Teenage
As Far As You'll Take Me,Phil Stamper,Fiction,Childrens & Teenage
Golden Boys,Phil Stamper,Fiction,Childrens & Teenage
Blood to Poison,Mary Watson,Fiction,Childrens & Teenage
Love is a Revolution,Renee Watson,Fiction,Childrens & Teenage
Half of a Yellow Sun,Chimamanda Ngozi Adichie,Fiction,Historical Fiction
A Long Petal Of The Sun,Isabel Allende,Fiction,Historical Fiction
Violeta,Isabel Allende,Fiction,Historical Fiction
Violeta,Isabel Allende,Fiction,Historical Fiction
The Leviathan,Rosie Andrews,Fiction,Historical Fiction
Conjure Women,Afia Atakora,Fiction,Historical Fiction
The Haunting Season,Bridget Collins,Fiction,Historical Fiction
No Life for a Lady,Hannah Dolby,Fiction,Historical Fiction
James,Percival Everett,Fiction,Historical Fiction
The Evening and the Morning,Ken Follett,Fiction,Historical Fiction
Mischief Acts,Zoe Gilbert,Fiction,Historical Fiction
Diva,Daisy Goodwin,Fiction,Historical Fiction
The House with the golden door,Elodie Harper,Fiction,Historical Fiction
The Wolf Den,Elodie Harper,Fiction,Historical Fiction
The Housekeepers,Alex Hay,Fiction,Historical Fiction
Last house before the mountain,Monika Helfer,Fiction,Historical Fiction
The Librairian of Auschwitz,Antonio Iturbe,Fiction,Historical Fiction
Black Wolf,Kathleen Kent,Fiction,Historical Fiction
A Sign of Her Own ,Sarah Marsh,Fiction,Historical Fiction
Labyrinth,Kate Mosse,Fiction,Historical Fiction
The Marriage Portrait,Maggie Ofarrell,Fiction,Historical Fiction
The Ghost Theatre,Mat Osman,Fiction,Historical Fiction
The Beasts of Paris,Steff Penney,Fiction,Historical Fiction
The Bedlam Stacks,Natasha Pulley,Fiction,Historical Fiction
The Whispering Muse,Laura Purcell,Fiction,Historical Fiction
Lady Macbethad,Isabelle Schuler,Fiction,Historical Fiction
River Sing Me Home,Eleanor Shearer,Fiction,Historical Fiction
The Fox Wife,Yangsze Choo,Fiction,Myths & Legends
Heroes,Stephen Fry,Fiction,Myths & Legends
Troy,Stephen Fry,Fiction,Myths & Legends
Mythos,Stephen Fry,Fiction,Myths & Legends
The Song of Achilles,Madeline Miller,Fiction,Myths & Legends
Galatea,Madeline Miller,Fiction,Myths & Legends
Circe,Madeline Miller,Fiction,Myths & Legends
The Song of Achilles,Madeline Miller,Fiction,Myths & Legends
House of Odysseus,Claire North,Fiction,Myths & Legends
Atalanta,Jennifer Saint,Fiction,Myths & Legends
Ariadne,Jennifer Saint,Fiction,Myths & Legends
Elektra,Jennifer Saint,Fiction,Myths & Legends
Disney Quotes to Live Your Life By,Walt Disney,Fiction,Gifts
Beautiful Daughter,Jenny Kempe,Fiction,Gifts
How Should One Read a Book?,Virginia Woolf,Non-Fiction,Literary Essays
Genius and Ink,Virginia Woolf,Non-Fiction,Literary Essays
Alex's Adventures in Numberland,Alex Bellos,Non-Fiction,Popular Science
Superintelligence,Nick Bostrom,Non-Fiction,Popular Science
A short history of nearly everything,Bill Bryson,Non-Fiction,Popular Science
The Body,Bill Bryson,Non-Fiction,Popular Science
The Selfish Gene,Richard Dawkins,Non-Fiction,Popular Science
The Selfish Gene,Richard Dawkins,Non-Fiction,Popular Science
What Do You Care What Other People Think: Further Adventures of a Curious Character,Richard P. Feynman,Non-Fiction,Popular Science
The Obesity Code,Jason Fung,Non-Fiction,Popular Science
A brief history of time,Stephen Hawking,Non-Fiction,Popular Science
The man who loved only numbers ,Paul Hoffman,Non-Fiction,Popular Science
The Book Your Cat Wishes You Would Read,Lucy Hoile,Non-Fiction,Popular Science
Not A Wake,Michael Keith,Non-Fiction,Popular Science
A universe from nothing,Lawerence M Krauss,Non-Fiction,Popular Science
What If?,Randall Munroe,Non-Fiction,Popular Science
How To  ,Randall Munroe,Non-Fiction,Popular Science
Humble Pi,Matt Parker,Non-Fiction,Popular Science
Many Things Under a Rock,David Scheel,Non-Fiction,Popular Science
The Matter of Everything,Suzie Sheehy,Non-Fiction,Popular Science
A Brief History of Black Holes,Dr Becky Smethurst,Non-Fiction,Popular Science
Calling Bullshit,Carl T. Bergstrom & Jevin D. West,Non-Fiction,Popular Science
Building Machine Learning Powered Applications,Emmanuel Ameisen,Non-Fiction,Academic
Data Interpretation for Medical Students,Paul Hamilton And Ian Bickle,Non-Fiction,Academic
The Mammoth Book of Chess,Graham Burgess,Non-Fiction,Academic
Nuclear Physics,Frank Close,Non-Fiction,Academic
Economics,Partha Dasgupta,Non-Fiction,Academic
Mastering Chess Strategy,Johan Hellsten,Non-Fiction,Academic
Couping Rydberg atoms to superconducting microwave circuits,Alexandre Morgan,Non-Fiction,Academic
"Fashion, Faith and Fantasy in the New Physics of the Universe",Roger Penrose,Non-Fiction,Academic
Oxford Concise Medical Dictionary,Oxford University Press,Non-Fiction,Academic
The Feynman Lectures on Physics Volume 2,"Feynman, Leighton, And Sands",Non-Fiction,Academic
The Feynman Lectures on Physics Volume 1,"Feynman, Leighton, And Sands",Non-Fiction,Academic
The Feynman Lectures on Physics Volume 3,"Feynman, Leighton, And Sands",Non-Fiction,Academic
Marx,Peter Singer,Non-Fiction,Academic
Essential Medical Statistics,Betty R. Kirkwood And Jonathan A. C. Sterne,Non-Fiction,Academic
Prof Alan Turing Decoded,Dermot Turing,Non-Fiction,Academic
The First 3 Minutes,Steven Weinberg,Non-Fiction,Academic
Outraged,Ashley Dotty Charles,Non-Fiction,Sociology
Why I'm No Longer Talking To White People About Race,Reni Eddo-Lodge,Non-Fiction,Sociology
Sapiens,Yuval Noah Harari,Non-Fiction,Sociology
Homo Deus,Yuval Noah Harari,Non-Fiction,Sociology
Why Did You Stay?,Rebecca Humphries,Non-Fiction,Sociology
Modern Romance,Aziz Ansari And Eric Klinenberg,Non-Fiction,Sociology
You are not alone,Cariad Lloyd,Non-Fiction,Sociology
The Great Experiment,Yascha Mounk,Non-Fiction,Sociology
Give Great Presentations,Bloomsbury Publishing,Non-Fiction,Sociology
Our Final Century,Martin Rees,Non-Fiction,Sociology
Good Relations,Janet Reibstein,Non-Fiction,Sociology
Not a Diet Book,James Smith,Non-Fiction,Sociology
Everybody Lies,Seth Stephens-Davidowitz,Non-Fiction,Sociology
Humankind ,Rutger Bregman,Non-Fiction,Philosophy
The God Delusion,Richard Dawkins,Non-Fiction,Philosophy
The God Delusion,Richard Dawkins,Non-Fiction,Philosophy
Monsters,Claire Dederer,Non-Fiction,Philosophy
12 Rules for Life,Jordan B. Peterson,Non-Fiction,Philosophy
101 Essays That Will Change the Way You Think,Brianna Wiest,Non-Fiction,Philosophy
Settlers,Jimi Famurewa,Non-Fiction,History
The Story of Russia,Orlando Figes,Non-Fiction,History
Alexandria,Islam Issa,Non-Fiction,History
The World According to David Hockney,Thames&Hudson,Non-Fiction,History
Brilliant Maps,Ian Wright,Non-Fiction,History
Women Don't Owe You Pretty,Florence Given,Non-Fiction,Feminist Theory
Hood Feminism,Mikki Kendall,Non-Fiction,Feminist Theory
The masters tools will never dismantle the masters house,Audre Lorde,Non-Fiction,Feminist Theory
Strong Female Lead,Arwa Mahdawi,Non-Fiction,Feminist Theory
Three Women ,Lisa Taddeo,Non-Fiction,Feminist Theory
A visible Man,Edward Enninful,Non-Fiction,Memoirs
Surely You're Joking Mr Feynman!,Richard P. Feynman,Non-Fiction,Memoirs
Eat Pray Love,Elizabeth Gilbert,Non-Fiction,Memoirs
An Astronaut's Guide to Life on Earth,Chris Hadfield,Non-Fiction,Memoirs
Notes on a nervous planet,Matt Haig,Non-Fiction,Memoirs
The Bookshop Woman,Nanako Hanada,Non-Fiction,Memoirs
View From the Summit,Sir Edmund Hillary,Non-Fiction,Memoirs
A Life Worth Living,Tommy Jessop,Non-Fiction,Memoirs
Deep Thinking,Garry Kasparov,Non-Fiction,Memoirs
This is Going to Hurt,Adam Kay,Non-Fiction,Memoirs
Twas the Nightshift Before Christmas,Adam Kay,Non-Fiction,Memoirs
I may be wrong,Bjorn Natthiko Lindeblad,Non-Fiction,Memoirs
Luka Modric,Luka Modric,Non-Fiction,Memoirs
How to be a woman,Caitlin Moran,Non-Fiction,Memoirs
Critical,Matt Morgan,Non-Fiction,Memoirs
Becoming,Michelle Obama,Non-Fiction,Memoirs
Midnight Chicken ,Ella Risbridger,Non-Fiction,Memoirs
I Want to Die But I Want to Eat Tteokbokki,Baek Sehee,Non-Fiction,Memoirs
I Want to Die But I Want to Eat Tteokbokki,Baek Sehee,Non-Fiction,Memoirs
A Man for All Markets,Edward O. Thorp,Non-Fiction,Memoirs
Once a King,Jane Marguerite Tippett,Non-Fiction,Memoirs
The Secret Barrister,Unknown,Non-Fiction,Memoirs
Spare,Harry Windsor,Non-Fiction,Memoirs
The Salt Path,Raynor Winn,Non-Fiction,Memoirs
Prosecco drinking games,Abbie Cammidge,Non-Fiction,Gifts
The GCHQ Puzzle Book II,Gchq,Non-Fiction,Gifts
The GCHQ Puzzle Book I ,Gchq,Non-Fiction,Gifts
Q&A a Day,Potter Gift,Non-Fiction,Gifts
"1,342 QI Facts to Leave You Flabbergasted","John Lloyd, John Mitchinson, James Harkin",Non-Fiction,Gifts
Posh Pocket Puzzles Wondrous Wordsearch,Na,Non-Fiction,Gifts
The Very Pointless Quiz Book,Alexander Armstrong And Richard Osman,Non-Fiction,Gifts
The Book Lover's Quiz Book,Gary Wigglesworth,Non-Fiction,Gifts
Nice,Cartoville,Non-Fiction,Travel & Holiday Guides
France,Dk Eyewitness,Non-Fiction,Travel & Holiday Guides
Amsterdam,Teresa Fisher,Non-Fiction,Travel & Holiday Guides
Channel coast of France,Paul Heiney,Non-Fiction,Travel & Holiday Guides
California  ,Apa Publications Limited,Non-Fiction,Travel & Holiday Guides
California State Map,Rand Mcnally,Non-Fiction,Travel & Holiday Guides
Time Out Paris Shortlist,Time Out,Non-Fiction,Travel & Holiday Guides
Scandinavia,Lonely Planet,Non-Fiction,Travel & Holiday Guides
Trekking in the Nepal Himalaya,Lonely Planet,Non-Fiction,Travel & Holiday Guides
Dubrovnik & The Dalmatian Coast,Lonely Planet,Non-Fiction,Travel & Holiday Guides
Reykjavik,Lonely Planet,Non-Fiction,Travel & Holiday Guides
Lonely Planet Best of India,Lonely Planet,Non-Fiction,Travel & Holiday Guides
Costa Rica,Lonely Planet,Non-Fiction,Travel & Holiday Guides
Coastal California,Lonely Planet,Non-Fiction,Travel & Holiday Guides
London,Lonely Planet,Non-Fiction,Travel & Holiday Guides
Menorca,Marco Polo,Non-Fiction,Travel & Holiday Guides
Snowdonia ,Mark Reeves,Non-Fiction,Travel & Holiday Guides
You are Here: Hikes,Blackwell & Ruth,Non-Fiction,Travel & Holiday Guides
SAS Survival Guide,John Lofty Wiseman,Non-Fiction,Travel & Holiday Guides
What Color is Your Parachute?,Richard N. Bolles,Non-Fiction,Careers
Think big,Dr Grace Lordan,Non-Fiction,Careers
Cracking the Coding Interview,Gayle Laakmann Mcdowell,Non-Fiction,Careers
Housebuilder's Bible,Mark Brinkley,Non-Fiction,Diy
Woodwork,Dk,Non-Fiction,Diy
The Green Roasting Tin,Rukmini Iyer,Non-Fiction,Cookery
Curry Everyday,Atul Kochhar,Non-Fiction,Cookery
Natural Flava,Craig & Shaun Mcanuff,Non-Fiction,Cookery
Peter Bakes,Peter Sawkins,Non-Fiction,Cookery
The Shared Table,Clare Scrine,Non-Fiction,Cookery
Bosh!,Henry Firth & Ian Theasby,Non-Fiction,Cookery
