Name,Author,Pub Year,ISBN-13,Publisher,Imprint Publisher,BookType,Primary Genre,Genres,Ficiton/non-fiction,Series,Volume,Unit Price,Page number,Language,Read by Stinky,Read by Matt,QTY,To/From
The Ballad of Never After,Stephanie Garber,2023,9781529381009,Hachette,Hodder and stoughton,Paperback,Fantasy,Fantasy Romance,Fiction,Once Upon a Broken Heart,2,£9.99,403,,1,0,1,
Belladonna,Adalyn Grace,2022,9781529367263,Hachette,Hodder and stoughton,Paperback,Fantasy,"Young Adult Fantasy Romance, Crime & Mystery",Fiction,Belladonna,1,£9.99,408,,1,0,1,
View From the Summit,Sir Edmund Hillary,2000,9780552151047,Transworld Publishers,Corgi Books,Paperback,Memoirs,"Climbing & Mountaineering, Sport Autobiographies",Non-fiction,na,na,£11.99,382,,0,0,1,
An Astronaut's Guide to Life on Earth,Chris Hadfield,2015,9781447259947,Pan Macmillan,Pan Books,Paperback,Memoirs,"Memiors, Space Science",Non-fiction,na,na,£8.99,310,,0,0,1,
Practice Makes Perfect,Sarah Adams,2023,9781472297082,Hachette,Headline,Paperback,Romance,Contemporary Romance,Fiction,na,na,£9.99,331,,0,0,1,
Scandinavia,Lonely Planet,2013,9781742204208,Lonely Planet,na,Paperback,Travel & Holiday Guides,Travel & Holiday Guides,Non-fiction,na,na,£17.99,518,,0,0,1,
Trekking in the Nepal Himalaya,Lonely Planet,2016,9781741792720,Lonely Planet,na,Paperback,Travel & Holiday Guides,Travel & Holiday Guides,Non-fiction,na,na,£14.99,374,,0,0,1,
Superintelligence,Nick Bostrom,2016,9780198739838,Oxford University Press,na,Paperback,Popular Science,"Popular Science, Social Forecasting and Future Studies",Non-fiction,na,na,£9.99,415,,0,0,1,
Dubrovnik & The Dalmatian Coast,Lonely Planet,2022,9781788681018,Lonely Planet,na,Paperback,Travel & Holiday Guides,Travel & Holiday Guides,Non-fiction,na,na,£7.99,176,,0,0,1,
Menorca,Marco Polo,2019,9783829757621,Mairdumont,na,Paperback with Flaps,Travel & Holiday Guides,Travel & Holiday Guides,Non-fiction,na,na,£7.99,136,,0,0,1,
What Do You Care What Other People Think: Further Adventures of a Curious Character,Richard P. Feynman,1989,9780553347845,Bantam Books,na,Paperback,Popular Science,Popular Science,Non-fiction,na,na,£10.99,255,,0,0,1,
Reykjavik,Lonely Planet,2017,9781786575487,Lonely Planet,na,Paperback,Travel & Holiday Guides,Travel & Holiday Guides,Non-fiction,na,na,£7.99,160,,0,0,1,
Surely You're Joking Mr Feynman!,Richard P. Feynman,1992,9780099173311,Vintage,na,Paperback,Memoirs,"General Autobiography, Physics",Non-fiction,na,na,£6.99,350,,0,0,1,
Amsterdam,Teresa Fisher,2007,9780749550820,AA Publishing,na,Hardback,Travel & Holiday Guides,Travel & Holiday Guides,Non-fiction,na,na,£6.99,128,,0,0,1,
Lonely Planet Best of India,Lonely Planet,2019,9781787013926,Lonely Planet,na,Paperback,Travel & Holiday Guides,Travel & Holiday Guides,Non-fiction,na,na,£16.99,324,,0,0,1,
Time Out Paris Shortlist,Time Out,2014,9781846703393,Heartwood Publishing,na,Paperback with Flaps,Travel & Holiday Guides,Travel & Holiday Guides,Non-fiction,na,na,£7.99,191,,0,0,1,
Modern Romance,Aziz Ansari and Eric Klinenberg,2016,9780141981468,Penguin Random House,Penguin Books,Paperback,Sociology,"Sociology, Dating, Relationships & Marriage",Non-fiction,na,na,£8.99,277,,0,0,1,
The Three-Body Problem,Cixin Liu,2016,9781784971571,Bloomsbury,Head of Zeus,Paperback,Science Fiction,Science Fiction,Fiction,Remembrance of Earth's Past,1,£9.99,434,,0,0,1,
The Dark Forest,Cixin Liu,2016,9781784971618,Bloomsbury,Head of Zeus,Paperback,Science Fiction,Science Fiction,Fiction,Remembrance of Earth's Past,2,£10.99,550,,0,0,1,
Death's End,Cixin Liu,2017,9781784971656,Bloomsbury,Head of Zeus,Paperback,Science Fiction,Science Fiction,Fiction,Remembrance of Earth's Past,3,£10.99,724,,0,0,1,
Oxford Concise Medical Dictionary,Oxford University Press,2007,9780199238637,Oxford University Press,na,Paperback,Academic,Medicine  ,Non-fiction,na,na,£10.99,896,,0,0,1,
The Secret Barrister,Unknown,2019,9781509841141,Pan Macmillan,Picador,Paperback,Memoirs,"Memoir, Law, Criminal Law & Procedure",Non-fiction,na,na,£9.99,373,,0,0,1,
Bloomsbury 35,Various Authors,2022,9781526658029,Bloomsbury,na,Paperback with Flaps,Literary Essays,"Literary History, Anthologies",Fiction,na,na,£14.99,363,,0,0,1,
The Song of Achilles,Madeline Miller,2021,9781526648174,Bloomsbury,na,Hardback,Myths & Legends,"Myths & Legends, Historical Fiction",Fiction,na,na,£20.00,352,,1,1,1,
One Dark Window,Rachel Gillig,2022,9780356519494,Bloomsbury,"Little, Brown",Paperback,Fantasy,Fantasy Romance,Fiction,The Shepherd King,1,£9.99,396,,1,0,1,
The Witcher: The Last Wish,Andrzej Sapkowski,2019,9781473226401,Bloomsbury,Orion,Paperback,Fantasy,Fantasy,Fiction,The Witcher,1,£8.99,280,,1,1,1,
Costa Rica,Lonely Planet,2021,9781787016835,Lonely Planet,na,Paperback,Travel & Holiday Guides,Travel & Holiday Guides,Non-fiction,na,na,£16.99,543,,0,0,1,
California State Map,Rand McNally,2010,9780528881107,Rand McNally & Co,na,Map,Travel & Holiday Guides,Road Atlases & Maps,Non-fiction,na,na,£1.50,72,,0,0,1,
Nice,Cartoville,na,9782742437672,Cartoville,na,FlexiBack,Travel & Holiday Guides,Travel & Holiday Guides,Non-fiction,na,na,na,na,,0,0,1,
Coastal California,Lonely Planet,2015,9781742206202,Lonely Planet,na,Paperback,Travel & Holiday Guides,Travel & Holiday Guides,Non-fiction,na,na,£14.99,526,,0,0,1,
France,DK Eyewitness,2016,9780241207178,DK,na,Paperback with Flaps,Travel & Holiday Guides,Travel & Holiday Guides,Non-fiction,na,na,£17.99,672,,0,0,1,
California  ,APA Publications Limited,2013,9781780055640,APA Publications,na,Map,Travel & Holiday Guides,Road Atlases & Maps,Non-fiction,na,na,£5.99,2,,0,0,1,
London,Lonely Planet,2014,9781742208732,Lonely Planet,na,Paperback,Travel & Holiday Guides,Travel & Holiday Guides,Non-fiction,na,na,£14.99,471,,0,0,1,
The Witcher: Sword of Destiny,Andrzej Sapkowski,2016,9781473211544,Hachette,Orion,Paperback,Fantasy,Fantasy,Fiction,The Witcher,2,£8.99,374,,0,0,1,
The Very Pointless Quiz Book,Alexander Armstrong and Richard Osman,2014,9781444782738,Hachette,Hodder and stoughton,Hardback,Gifts,"Trivia & quiz question books, TV",Non-fiction,na,na,£14.99,336,,0,0,1,
Give Great Presentations,Bloomsbury Publishing,2022,9781472993250,Bloomsbury,Bloomsbury Business,Paperback,Sociology,Business Communication & Presentation,Non-fiction,Bloomsbury Business Essentials,na,£8.99,96,,0,0,1,
Disney Quotes to Live Your Life By,Walt Disney,2020,9781787417021,Bonnier Books,Studio Press Books,Hardback,Gifts,"Film & Television, General Humour",Fiction,na,na,£6.99,112,,0,0,1,
Lady Macbethad,Isabelle Schuler,2023,9781526647252,Bloomsbury,Raven Books,Proof,Historical Fiction,Historical Fiction,Fiction,na,na,na,359,,0,0,1,
A Treachery of Spies,Manda Scott,2019,9780552169516,Penguin Random House,Transworld,Paperback,Crime & Mystery,Crime & Mystery,Fiction,na,na,£8.99,545,,0,0,1,
"1,342 QI Facts to Leave You Flabbergasted","John Lloyd, John Mitchinson, James Harkin",2017,9780571332472,Faber & Faber,na,Paperback,Gifts,"General Humour, TV Tie-In",Non-fiction,na,na,£6.99,356,,0,0,1,
Harry Potter and the Philosopher's Stone,J. K. Rowling,2022,9781526646651,Bloomsbury,Bloomsbury Children's Books,Hardback,Children's & Teenage,"Children's & Teenage, Fantasy",Fiction,Harry Potter,1,£16.99,332,,0,1,1,
Harrius Potter et Philosophi Lapis,J. K. Rowling,2015,9781408866184,Bloomsbury,Bloomsbury Children's Books,Hardback,Children's & Teenage,"Children's & Teenage Fiction, Fantasy",Ficion,Harry Potter,1,£16.99,249,Latin,0,0,1,
A Theatre for Dreamers,Polly Samson,2021,9781526600592,Bloomsbury,na,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,na,na,£8.99,348,,1,0,1,
I Wandered Lonely as a Cloud,Ana Sampson,2009,9781843173946,Michael O'Mara Books,na,Hardback,Poetry,Poetry Anthologies,Fiction,na,na,£9.99,192,,0,0,1,
The Little Prince,Antoine De Saint-Exupery,2010,9781909621565,Pan Macmillan,Macmillan Collector's Library,Hardback,Classic Fiction,"Classic Fiction, Fiction in Translation",Fiction,na,na,£8.99,135,,0,0,1,
The Kremlin Device,Chris Ryan,1999,9780099272052,Random House,Arrow Books,Paperback,Crime & Mystery,Thrillers,Fiction,na,na,£5.99,420,,0,0,1,
House of Trelawney,Hannah Rothschild,2020,9781526600608,Bloomsbury,na,Hardback,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, General Humour",Fiction,na,na,£16.99,358,,0,0,1,
Harry Potter and the Chamber of Secrets,J. K. Rowling,2014,9781408855669,Bloomsbury,Bloomsbury Children's Books,Paperback,Children's & Teenage,"Children's & Teenage Fiction, Fantasy",Fiction,Harry Potter,2,£7.99,360,,0,1,2,
Posh Pocket Puzzles Wondrous Wordsearch,na ,2014,9781472356666,Parragon,na,Hardback,Gifts,Puzzles & Quizzes,Non-fiction,na,na,£8.00,128,,0,0,1,
The Wise Man's Fear,Patrick Rothfuss,2012,9780575081437,Hachette,Orion,Paperback,Fantasy,Fantasy,Fiction,The Kingkiller Chronicle,2,£10.99,990,,0,1,1,
The Slow Regard of Silent Things,Patrick Rothfuss,2014,9781473209336,Hachette,Orion,Paperback,Fantasy,Fantasy,Fiction,The Kingkiller Chronicle,2.5,£8.99,159,,0,0,1,
Nuclear Physics,Frank Close,2015,9780198718635,Oxford University Press,na,Paperback with Flaps,Academic,"Popular Science, Physics",Non-fiction,A Very Short Introduction,438,£8.99,123,,0,0,1,
Marx,Peter Singer,2018,9780198821076,Oxford University Press,na,Paperback with Flaps,Academic,"Marzism & Communism, Philosophy",Non-fiction,A Very Short Introduction,28,£8.99,130,,0,0,1,
Economics,Partha Dasgupta,2007,9780192853455,Oxford University Press,na,Paperback with Flaps,Academic,Economics,Non-fiction,A Very Short Introduction,156,£8.99,172,,0,0,1,
The Great Godden,Meg Rosoff,2020,9781526627452,Bloomsbury,Bloomsbury YA,Proof,Children's & Teenage,"Children's & Teenage Fiction, General Fiction",Fiction,na,na,na,247,,0,0,1,
Midnight Chicken ,Ella Risbridger,2020,9781526623898,Bloomsbury,na,Paperback,Memoirs,"Memoirs, Food & Society",Non-fiction,na,na,£9.99,320,,0,0,1,
If We Were Villains,M. L. Rio,2022,9781803362113,Titan books,na,Hardback,Crime & Mystery,"Crime & Mystery, Thrillers",Fiction,na,na,£18.99,430,,0,0,1,
Normal People,Sally Rooney,2019,9780571334650,Faber & Faber,na,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,na,na,£8.99,266,,1,1,1,
"Beautiful World, Where Are You",Sally Rooney,2021,9780571365425,Faber & Faber,na,Hardback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,na,na,£16.99,337,,1,0,1,
The One That Got Away,Charlotte Rixon,2023,9781803289984,Bloomsbury,Head of Zeus,Proof,Romance,Contemporary Romance,Fiction,na,na,na,405,,0,0,1,
The Lovely Bones,Alice Sebold,2003,9780330485388,Pan Macmillan,Picador,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,na,na,£7.99,328,,1,0,1,
They Both Die at the End,Adam Silvera,2017,9781471166204,Simon & Schuster,na,Paperback,Young Adult,"Young Adult, General Fiction",Fiction,na,na,£7.99,373,,1,0,1,
The Matter of Everything,Suzie Sheehy,2022,9781526618962,Bloomsbury,na,Hardback,Popular Science,"Popular Science, Physics",Non-fiction,na,na,£20.00,313,,0,0,1,
A Day of Fallen Night,Samantha Shannon,2023,9781526619792,Bloomsbury,na,Proof,Fantasy,Fantasy,Fiction,Roots of Chaos,2,na,873,,0,0,1,
The Priory of the Orange Tree,Samantha Shannon,2020,9781408883358,Bloomsbury,na,Paperback,Fantasy,Fantasy,Fiction,Roots of Chaos,1,£10.99,829,,1,1,1,
I Want to Die But I Want to Eat Tteokbokki,Baek Sehee,2022,9781526650863,Bloomsbury,na,Proof,Memoirs,"Memoirs, Self-help & Personal Development",Non-Fiction,na,na,na,192,,1,0,1,
I Want to Die But I Want to Eat Tteokbokki,Baek Sehee,2022,9781526650863,Bloomsbury,na,Hardback,Memoirs,"Memoirs, Self-help & Personal Development",Non-Fiction,na,na,£12.99,192,,1,0,1,
Best of Friends,Kamila Shamsie,2022,9781526647702,Bloomsbury,na,Proof,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,na,na,na,315,,1,0,1,
The Sonnets and A Lover's Complaint,William Shakespeare,2017,9780241288191,Penguin Random House,Penguin Books,Paperback,Poetry,Poetry Anthologies,Fiction,na,na,£10.00,457,,0,0,1,
The Consultant,Im Seong-Sun,2023,9781526654144,Bloomsbury,Raven Books,Proof,Crime & Mystery,"Thrillers, Fiction in Translation",Fiction,na,na,na,242,,0,0,1,
Strong Female Lead,Arwa Mahdawi,2022,9781529360677,Hachette,Hodder and stoughton,Paperback,Feminist Theory,"Feminism & Feminist Theory, Gender Studies",Non-Fiction,na,na,£10.99,262,,0,0,1,
Cleopatra and Frankenstein,Coco Mellors,2023,9780008421793,Harper Collins,4th Estate,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,na,na,£9.99,370,,1,0,1,
Mythos,Stephen Fry,2018,9781405934138,Penguin Random House,Penguin Books,Paperback,Myths & Legends,Mythology & Legends,Fiction,Stephen Fry's Greek Myths,1,£10.99,441,,0,1,1,
The Subtle Knife,Philip Pullman,1998,9780590112895,Scholastic Children's Books,Scholastic Ltd,Paperback,Children's & Teenage,"Children's & Teenage, Fantasy, Adventure",Fiction,His Dark Materials,2,£6.99,341,,1,0,1,
The Amber Spyglass,Philip Pullman,2001,9780439993586,Scholastic Children's Books,Scholastic Ltd,Paperback,Children's & Teenage,"Children's & Teenage, Fantasy, Adventure",Fiction,His Dark Materials,3,£6.99,548,,1,0,1,
How To  ,Randall Munroe,2019,9781473680326,Hachette,John Murray ,Proof,Popular Science,"Popular Science, Comic Books & Cartoon Art",Non-Fiction,na,na,na,290,,0,0,1,
The Stargazers,Harriet Evans,2023,9781472271426,Hachette,Headline,Proof,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,na,na,na,403,,0,0,1,
Monsters,Claire Dederer,2023,9781399722322,Hachette,"Little, Brown",Proof,Philosophy,"Theory of Art, Ethical Issues & Debates",Non-Fiction,na,na,na,273,,1,0,1,
Everything I Never Told You,Celeste Ng,2014,9780349134284,Hachette,"Little, Brown",Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,na,na,£8.99,297,,0,0,1,
River Sing Me Home,Eleanor Shearer,2023,9781472291363,Hachette,Headline,Proof,Historical Fiction,"Historical Fiction, Slavery & Abolition of Slavery",Fiction,na,na,na,374,,0,0,1,
If He Had Been With Me,Laura Nowlin,2019,9781728205489,Sourcebooks Fire,Sourcebooks,Paperback,Young Adult,Young Adult Romance,Fiction,na,na,£9.99,389,,1,0,1,
The Hundred Loves of Juliet,Evelyn Skye,2023,9781035408054,Hachette,Headline,Proof,Romance,Contemporary Romance,Fiction,na,na,na,320,,1,0,1,
Spoilt Creatures,Amy Twigg,2024,9781035411573,Hachette ,Headline,Proof,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Psycology",Fiction,na,na,na,323,,1,0,1,
The Gravity of Us,Phil Stamper,2020,9781526619945,Bloomsbury,Bloomsbury YA,Paperback,Children's & Teenage,"Children's & Teenage, Romance, LGBTQ",Fiction,na,na,£7.99,312,,0,0,1,
As Far As You'll Take Me,Phil Stamper,2021,9781526630728,Bloomsbury,Bloomsbury YA,Paperback,Children's & Teenage,"Children's & Teenage, Romance, LGBTQ",Fiction,na,na,£7.99,313,,0,0,1,
Golden Boys,Phil Stamper,2022,9781526643841,Bloomsbury,Bloomsbury YA,Paperback,Children's & Teenage,"Children's & Teenage, Romance, LGBTQ",Fiction,na,na,£7.99,372,,0,0,1,
Three Women ,Lisa Taddeo,2020,9781526611642,Bloomsbury,na,Paperback,Feminist Theory,"True Stories, Gender Studies, Sociology",Non-Fiction,na,na,£9.99,389,,0,0,1,
Together We Will Go,J. Michael Straczynski,2021,9781789097474,Titan Books,na,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,na,na,£8.99,324,,1,0,1,
Everybody Lies,Seth Stephens-Davidowitz,2018,9781408894736,Bloomsbury,Bloomsbury Paperbacks,Paperback,Sociology,"Sociology, Data Analysis, Politics & Government",Non-Fiction,na,na,£10.99,338,,0,0,1,
Home,Cailean Steed,2023,9781526641663,Bloomsbury,Raven Books,Proof,Crime & Mystery,"Crime & Mystery, Thrillers",Fiction,na,na,na,323,,0,0,1,
A Man for All Markets,Edward O. Thorp,2017,9781786071972,Oneworld Publications,na,Paperback,Memoirs,"Business & Industry Autobiographies, Finance",Non-Fiction,na,na,£10.99,396,,0,0,1,
The Secret History,Donna Tartt,1993,9780140167771,Penguin Group,Penguin Books,Paperback,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Dark Academia",Fiction,na,na,£8.99,628,,1,0,1,
Ghost Lover,Lisa Taddeo,2022,9781526653178,Bloomsbury,Bloomsbury Circus,Trade Paperback,Short Stories,Short Stories,Fiction,na,na,£13.99,221,,0,0,1,
Animal,Lisa Taddeo,2021,9781526630940,Bloomsbury,Bloomsbury Circus,Proof,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Feminism & Feminist Theory",Fiction,na,na,na,321,,1,0,1,
Chronicles from the Land of the Happiest People on Earth,Wole Soyinka,2021,9781526638243,Bloomsbury,Bloomsbury Circus,Proof,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Thrillers",Fiction,na,na,na,444,,0,0,1,
Not a Diet Book,James Smith,2020,9780008374297,Harper Collins,na,Paperback,Sociology,"Fitness & Diet, Assertiveness, Motivation & Self-Esteem",Non-Fiction,na,na,£9.99,295,,0,0,1,
Shadow and Bone,Leigh Bardugo,2018,9781510106369,Hachette,Hachette Childrens,Paperback,Young Adult,Young Adult Fantasy Romance,Fiction,Shadow and Bone,1,£7.99,307,,1,1,1,
Siege and Storm,Leigh Bardugo,2018,9781510106376,Hachette,Hachette Childrens,Paperback,Young Adult,Young Adult Fantasy Romance,Fiction,Shadow and Bone,2,£7.99,386,,1,1,1,
Ruin and Rising,Leigh Bardugo,2018,9781510106383,Hachette,Hachette Childrens,Paperback,Young Adult,Young Adult Fantasy Romance,Fiction,Shadow and Bone,3,£7.99,354,,0,1,1,
Harry Potter and the Philosopher's Stone,J. K. Rowling,2014,9781408855652,Bloomsbury,Bloomsbury Children's Books,Paperback,Children's & Teenage,"Children's & Teenage Fiction, Fantasy",Fiction,Harry Potter,1,£7.99,331,,0,1,1,
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,2014,9781408855676,Bloomsbury,Bloomsbury Children's Books,Paperback,Children's & Teenage,"Children's & Teenage Fiction, Fantasy",Fiction,Harry Potter,3,£7.99,461,,0,1,1,
Harry Potter and the Goblet of Fire,J. K. Rowling,2014,9781408855683,Bloomsbury,Bloomsbury Children's Books,Paperback,Children's & Teenage,"Children's & Teenage Fiction, Fantasy",Fiction,Harry Potter,4,£8.99,616,,0,1,1,
Harry Potter and the Order of the Phoenix,J. K. Rowling,2014,9781408855690,Bloomsbury,Bloomsbury Children's Books,Paperback,Children's & Teenage,"Children's & Teenage Fiction, Fantasy",Fiction,Harry Potter,5,£8.99,799,,0,1,1,
Harry Potter and the Half Blood Prince,J. K. Rowling,2014,9781408855706,Bloomsbury,Bloomsbury Children's Books,Paperback,Children's & Teenage,"Children's & Teenage Fiction, Fantasy",Fiction,Harry Potter,6,£8.99,541,,0,1,1,
Harry Potter and the Deathly Hallows,J. K. Rowling,2014,9781408855713,Bloomsbury,Bloomsbury Children's Books,Paperback,Children's & Teenage,"Children's & Teenage Fiction, Fantasy",Fiction,Harry Potter,7,£8.99,619,,0,1,1,
Q&A a Day,Potter Gift,2011,9780307719775,Random House,Crown Publishing Group,Hardback,Gifts,Journals,Non-Fiction,na,na,£14.99,368,,1,0,1,
Beautiful Daughter,Jenny Kempe,2013,9781846346071,Helen Exley ,na,Hardback,Gifts,Gifts,Fiction,Life is Beautiful,na,na,36,,1,0,1,
"Starry Night, Blurry Dreams",Henn Kim,2021,9781526635600,Bloomsbury,na,Hardback,Poetry,Poetry  ,Fiction,na,na,£12.99,304,,0,0,1,
Woodwork,DK  ,2020,9780241412428,DK,na,Hardback,DIY,"DIY, Carpentry & Woodworking",Non-Fiction,na,na,£25.00,399,,0,0,1,
Housebuilder's Bible,Mark Brinkley,2021,9781916016811,Ovolo Books,na,Paperback,DIY,Home Renovation & Extension,Non-Fiction,na,na,£25.00,346,,0,0,1,
Natural Flava,Craig & Shaun McAnuff,2022,9781526631879,Bloomsbury,na,Hardback,Cookery,Cookery,Non-Fiction,na,na,£22.00,253,,0,0,1,
Bosh!,Henry Firth & Ian Theasby,2018,9780008262907,Harper Collins,HQ,Hardback,Cookery,Cookery,Non-Fiction,na,na,£22.00,288,,0,0,1,
The Green Roasting Tin,Rukmini Iyer,2018,9781910931899,Penguin Random House,Vinage,Hardback,Cookery,Cookery,Non-Fiction,The Roasting Tin ,na,£17.99,238,,0,0,1,
Curry Everyday,Atul Kochhar,2022,9781472985996,Bloomsbury,Bloomsbury Absolute,Hardback,Cookery,Cookery,Non-Fiction,na,na,£26.00,303,,0,0,1,
Peter Bakes,Peter Sawkins,2021,9781785303500,Black & White Publishing,na,Hardback,Cookery,Cookery,Non-Fiction,na,na,£20.00,247,,0,0,1,
The Shared Table,Clare Scrine,2019,9781925811247,Smith Street Books,na,FlexiBack,Cookery,Cookery,Non-Fiction,na,na,£20.00,219,,0,0,1,
Check & Mate,Ali Hazelwood,2023,9781408731307,Hachette,"Little, Brown",Proof,Romance,Contemporary Romance,Fiction,na,na,na,352,,0,0,1,
Labyrinth,Kate Mosse,2006,9780752877327,Hachette,Orion,Paperback,Historical Fiction,Historical Fiction,Fiction,The Languedoc Trilogy,1,£7.99,702,,0,0,1,
House of Sky and Breath,Sarah J. Maas,2023,9781526628220,Bloomsbury,na,Paperback,Fantasy,"Fantasy, Romance",Fiction,Crescent City,2,£9.99,804,,1,1,1,
You're Not Supposed to Die Tonight,Kalynn Bayron,2023,9781526667403,Bloomsbury,Bloomsbury YA,Proof,Young Adult,"Young Adult, Horror & Ghost Stories",Fiction,na,na,na,227,,0,0,1,
Welcome to the Hyunam-Dong Bookshop,Hwang Bo-Reum,2023,9781526662279,Bloomsbury,na,Proof,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Translated Fiction",Fiction,na,na,na,299,,0,0,1,
Life and Soul of the Party,Mike Gayle,2020,9780340825440,Hachette,Hodder and stoughton,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction. Romcom,Fiction,na,na,£8.99,325,,0,0,1,
American Gods,Neil Gaiman,2017,9781472245540,Hachette,Headline,Paperback,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Crime & Thriller",Fiction,The American Gods Quartet,1,£8.99,635,,0,0,1,
When We Were Birds,Ayanna Lloyd Banwo,2023,9780241991633,Penguin Random House,Penguin Books,Paperback,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Romance, Myths and Legends",Fiction,na,na,£9.99,278,,0,0,1,
Meet Me in Another Life,Catriona Silvey,2021,9780008399849,Harper Collins,HarperVoyager,Hardback,Science Fiction,"Science Fiction, Romance",Fiction,na,na,£14.99,310,,0,0,1,
Alexandria,Islam Issa,2023,9781399730761,Hachette,Hodder and stoughton,Proof,History ,History,Non-Fiction,na,na,na,480,,0,0,1,
The Haunting Season,Bridget Collins,2022,9780751581997,Hachette,"Little, Brown",Paperback,Historical Fiction,"Historical Fiction, Ghost Stories",Fiction,na,na,£8.99,291,,1,0,1,
The Fox Wife,Yangsze Choo,2024,9781529435559,Hachette,Quercus,Proof,Myths & Legends,"Myths & Legends, Historical Fiction",Fiction,na,na,na,388,,0,0,1,
The Shadow of the Wind,Carlos Ruiz Zafon,2018,9781474609883,Hachette,Orion,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,na,na,£10.99,524,,0,1,2,
Ninth House,Leigh Bardugo,2020,9781473227989,Hachette,Orion,Paperback,Fantasy,Fantasy,Fiction,Alex Stern,1,£8.99,455,,0,0,1,
Emily Wilde's Encyclopaedia of Faeries,Heather Fawcett,2023,9780356519128,Hachette,"Little, Brown",Hardback,Fantasy,Fantasy,Fiction,Emily Wilde,1,£14.99,315,,0,0,1,
The Fury,Alex Michaelides,2024,9780241575536,Penguin Random House,Michael Joseph,Proof,Crime & Mystery,"Crime & Mystery, Thriller",Fiction,na,na,na,333,,0,0,1,
Martyr!,Kaveh Akbar,2024,9781035026067,Pan Macmillan,Picador,Proof,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,na,na,na,329,,0,0,1,
Fruit of the Dead,Rachel Lyon,2024,9781398524996,Simon & Schuster,Scribner,Proof,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,na,na,na,301,,0,0,1,
James,Percival Everett,2024,9781035031238,Pan Macmillan,Mantle,Proof,Historical Fiction,Historical Fiction,Fiction,na,na,na,306,,0,0,1,
A Sign of Her Own ,Sarah Marsh,2024,9781035401611,Hachette,Headline,Proof,Historical Fiction,Historical Fiction,Fiction,na,na,na,417,,0,0,1,
Diva,Daisy Goodwin,2024,9781035906703,Bloomsbury,Head of Zeus,Proof,Historical Fiction,Historical Fiction,Fiction,na,na,na,323,,0,0,1,
West Heart Kill,Dann McDorman,2023,9781526666239,Bloomsbury,Raven Books,Trade Paperback,Crime & Mystery,Crime & Mystery,Fiction,na,na,£13.99,271,,0,0,1,
The Angel's Game,Carlos Ruiz Zafon,2010,9780753826492,Hachette,Orion,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,na,na,£7.99,504,,0,0,1,From Jane Davies
The Watcher in the Shadows,Carlos Ruiz Zafon,2014,9780753829257,Hachette,Orion,Paperback,Young Adult,"Young Adult, Horror & Ghost Stories",Fiction,na,na,£7.99,246,,0,0,1,From Jane Davies
The Road Trip,Beth O'Leary,2022,9781529409093,Hachette,Quercus,Paperback,Romance,Romance,Fiction,na,na,£8.99,438,,1,0,1,
SAS Survival Guide,John 'Lofty' Wiseman,2018,9780008133788,Harper Collins,William Collins,Paperback,Travel & Holiday Guides,"Travel & Maps, Outdoor Survival Skills",Non-Fiction,na,na,£5.99,384,,0,0,1,
The First Binding,R. R. Virdi,2023,9781473234000,Hachette,Orion,Paperback,Fantasy,Fantasy ,Fiction,Tales of Tremaine,1,£10.99,817,,0,0,1,
Flawless,Elsie Silver,2023,9780349437675,Hachette,"Little, Brown",Paperback,Romance,Romance,Fiction,Chestnut Springs,1,£9.99,397,,1,0,1,
Funny Feelings,Tarah Dewitt,2023,9780349438948,Hachette,"Little, Brown",Paperback,Romance,Romance,Fiction,na,na,£9.99,304,,0,0,1,
Archer's Voice,Mia Sheridan,2018,9781538727355,Hachette,Forever,Paperback,Romance,Romance,Fiction,na,na,£9.99,387,,1,0,1,
The Well of Ascension,Brandon Sanderson,2009,9780575089938,Hachette,Orion,Paperback,Fantasy,Fantasy,Fiction,Mistborn,2,£9.99,781,,0,1,1,
Icebreaker,Hannah Grace,2023,9781398525689,Simon & Schuster,na,Paperback,Romance,Romance,Fiction,na,na,£8.99,432,,1,0,1,
