Name,Author,Pub Year,ISBN-13,Publisher,Imprint Publisher,BookType,Primary Genre,Genres,Ficiton/non-fiction,Series,Volume,Unit Price,Page number,Language,Read by Stinky,Read by Matt,QTY,To/From
House of Odysseus,Claire North,2023,9780356521787,Hachette,"Little, Brown",Proof,Myths & Legends,"Myths & Legend, Historical Fiction",Fiction,The Songs of Penelope,2,na,420,,0,0,1,
Rule of Wolves,Leigh Bardugo,2022,9781510104495,Hachette,Hachette Childrens,Paperback,Young Adult,Young Adult Fantasy,Fiction,King of Scars,2,£8.99,590,,0,0,1,
King of Scars,Leigh Bardugo,2020,9781510104464,Hachette,Hachette Childrens,Paperback,Young Adult,Young Adult Fantasy,Fiction,King of Scars,1,£8.99,514,,0,0,1,
Why I'm No Longer Talking To White People About Race,Reni Eddo-Lodge,2017,9781408870556,Bloomsbury,Bloomsbury Circus,Hardback,Sociology,"Society & Culture, Politics & Government",Non-fiction,na,na,£18.99,249,,0,0,1,
The Devil and the Dark Water,Stuart Turton,2020,9781408889640,Bloomsbury,Raven Books,Hardback,Crime & Mystery,"Crime & Mystery, Historical Thriller",Fiction,na,na,£16.99,555,,0,0,1,
The Housekeepers,Alex Hay,2023,9781035406647,Hachette,Headline,Proof,Historical Fiction,Historical Fiction,Fiction,na,na,na,399,,1,0,2,
Lost on Me,Veronica Raimo,2023,9780349017815,Hachette,"Little, Brown",Proof,Modern & Contemporary Fiction,Fiction in translation,Fiction,na,na,na,209,,0,0,1,
I'm Sorry You Feel That Way,Rebecca Wait,2022,9781529420449,Hachette,Quercus,Hardback,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Illness",Fiction,na,na,£16.99,390,,0,0,1,
The Storm We Made,Vanessa Chan,2024,9781399712576,Hachette,Hodder and stoughton,Proof,Modern & Contemporary Fiction,"Modern And Contemporary Fiction, War & Combat, Family & Relationships",Fiction,na,na,na,247,,0,0,1,
Crook Manifesto,Colson Whitehead,2023,9780349727646,Hachette,"Little, Brown",Proof,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,Harlem Shuffle,2,na,319,,0,0,1,
Atalanta,Jennifer Saint,2023,9781035402717,Hachette,Headline,Proof,Myths & Legends,"Myths & Legends, Contemporary Historical Fiction",Fiction,na,na,na,357,,1,0,1,
Many Things Under a Rock,David Scheel,2023,9781399723114,Hachette,Hodder and stoughton,Proof,Popular Science,"Popular Science, Wildlife, Biology",Non-fiction,na,na,na,296,,0,0,1,
Isaac and the Egg,Bobby Palmer,2022,9781472285508,Hachette,Headline,Hardback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,na,na,£14.99,277,,1,0,1,
Shanghai Immortal ,A. Y. Chao,2023,9781399723619,Hachette,Hodder and stoughton,Proof,Fantasy,"Fantasy, Adventure",Fiction,na,na,na,345,,0,0,1,
